,0
4546,southwestair know finally lined like cattle board sw flight original departure time badcustomerservice
4547,southwestair jason 108639 gate 3 san made afternoon southwestairlines stellarservice thanks
4548,southwestair thanks adding straight flight columbus oakland
4549,southwestair look forward direct flight california see family often thank michaelbcoleman byebyeusairline
4550,southwestair great customer service come knowexpect luv dropped eb check help sight
4551,southwestair cant help made mistake dropped early bird check end luv
4552,southwestair please something speed wifi connection plane might well nonexistent
4553,southwestair crew 4028 tonight outstanding god bless medically trained passenger board
4554,southwestair weather seriously cannot even excuse point awful service summer
4555,southwestair seriously worst dont remember last time someone knew flight wasnt delayed cancelled flightled etc
4556,southwestairgive crew swa 4007 high five av8b guy nice xw landing bostonlogan nicely done
4557,southwestair charge much moving full flight earlier flight seat available doesnt make sense
4558,southwestair wifi come
4559,southwestair brd nowfrustrated go 2 buf rocif tld flt gng 2b held earlier would messcng bk unable due overbk
4560,southwestair honest didnt expect fast response thank chiberia go
4561,southwestair making miracle customer service department gave far one friendliest phone call ever wheelsup
4562,southwestair already signed thanks looking forward trying southwest experience
4563,southwestair unscheduled aircraft change please better system place worth paid upgrade refund
4564,southwestair love hold flight 2851 phx late flight passenger make u hour late flight great job
4565,southwestair tried return orig booked flt told overbookedgng diff destfeel like switched purpose bec overbook
4566,southwestair amiltx3 forgiven loved customerits never left thats youre bae
4567,southwestair time estimate luggage well sure fill survey
4568,southwestair hear bad thing flying last weekend flight crew awesome thank
4569,southwestair sorry spam would awesome see imaginedragons vega help would absolutely amazing
4570,southwestair let chat flight bwi carolina area girl get break ive resort usair 2 day
4571,southwestair remember wouldnt let 305pm flight seat available 740 flight delayed worst airline badservice
4572,southwestair michaelbcoleman thanks making new direct flight san francisco
4573,southwestair crew 4649 great u today traveling ft lauderdale louisville 2 kid 7 thanks
4574,southwestair next enforcing boarding procedure
4575,southwestair roger wilco
4576,southwestair nvm gate said theyre holding connection thanks quick response
4577,southwestair yall say flt 4200 time yet havent boarded 335 departure bc waiting new crew subterfuge
4578,southwestair yall get rid austin cabo flight together there zero nonstop aug sept
4579,southwestair looking forward beat music available flight today thats pretty cool
4580,southwestair best airfare price gotta luv
4581,southwestair flt delayed scheduled miss connection get help 8hh4p2
4582,southwestair thank
4583,southwestair didnt say anything patience said probably last time fly southwest suggest others
4584,southwestair flight 317
4585,southwestair thanks opportunity
4586,southwestair dont ever tweet
4587,southwestair problem wasnt issued position today gate option upgrade good youre 64
4588,southwestair might worst airline ever
4589,southwestair truly best customerservice something go wrong matter big small issue fix thank
4590,southwestair easiest airline deal loveeee much
4591,southwestair 11am canned empathize think team lost right capitalized lowercase team day
4592,southwestair thank
4593,southwestair ok gotcha
4594,southwestair oopsno functioning bathroom fairly full flight hope everyone 702 new york hold included
4595,southwestair im excited perhaps could scale excitement back week
4596,southwestair amp sammijon3s best friend imaginedragons chance could get ticket destinationdragons
4597,southwestair thank guy
4598,southwestair trip month awaywhy consider around corner setting change
4599,southwestair ceo gary kelly america loved flown airline southwestrally bwi bestemployees swaculture swapic
4600,southwestair tried inflight wifi fail
4601,southwestair flight booking problem late flight summer travel auscun direct flight disappear
4602,southwestair dresparkles thank finally made destination
4603,southwestair luvin flight today dont change please add paypal payment option
4604,southwestair youre killing always delayed sandiego sf ugh
4605,southwestair almost bumped flight hrl 20 minute early staff rude asked problem
4606,southwestair experiencing worst customer service ever currently waited c rep put hold actually hung
4607,southwestair make flying unobaseball fun flight crew led plane singing happy birthday one guy luvintheair
4608,southwestair received birthday card amazing made smile joy nice video thanks
4609,thanks southwestair heartlanta
4610,southwestair thanks b day concert watched noticed fist bumphigh five end rock version
4611,southwestair doesnt terminal b lga precheck make want never fly airline
4612,southwestair boyfriend loved imaginedragons since 2009 amp would awesome go vega event way help
4613,southwestair reviewing oversize policy hardcase golfbags free weight add guitar instrument list
4614,southwestair saianel could said dont know
4615,southwestair cant find cheap flight dc st louis price went like crazy april weekend
4616,southwestair cant dm without following
4617,southwestair pwm direct orlando saturday happening march thought going permanent thing
4618,southwestair yes guy get act together
4619,southwestair unable check flight say itinerary ineligible checkin online go counter inconvenient
4620,southwestair thank great tool
4621,southwestair know crew today flight 1071 au pdx awesome swa
4622,southwestair thanks lot sending special deal budget getting screwed best vacation sarcasm get new partner
4623,southwestair loyal alist customer easier get help bring resolution issue reward program
4624,southwestair one answersno one help always different story fiancee cant helped
4625,southwestair yes please train customer service agent correct protocol receiving different 411 evrytime call
4626,southwestair never got notification flight 955 cancelled flighted today correct phone email file happy customer
4627,southwestair sitting talking tech conference awesome guy rolled across luv guy lol
4628,southwestair thanks attention ive flying southwest 3 year havent issue past
4629,southwestair suggestion shade window kciairport traveler wont watch ur luggage handler throwing bag around
4630,southwestair alist program complete joke company value loyal customerstime look another goto airliner
4631,southwestair whats pricing cache book flight refreshed page amp price jumped 73 159 ridiculous
4632,southwestair alist pref credit card holder called exclusive hung hold 14 min give
4633,southwestair destinationdragons imaginedragons im huge fan would love tix show
4634,southwestair bwisjd service seasonal wasnt part extension called intl desk didnt know want fly sept sat
4635,southwestair scott best thank yo bottom heartdestinationdragons friend la hayleymad see u friday
4636,southwestair flying non stop cmhoak daydreaming trip bayespecially weather ohioprobz
4637,southwestair 3 flight yesterday treat nut pretzel also origami magazine new policy oldpolicieswaybetter
4638,southwestair awful lost bag arent providing info day 3 nothing worstairlineever
4639,southwestair flight cancelled flighted delayed expect full compensation park ticket hotel amp flight
4640,southwestair yeehaw found u another plane thx listening vent
4641,southwestair good chance anyone else airport ever flight booking problem southwest
4642,southwestair costumer service representative lied ensured plane would leaving 330 scheduled 455
4643,southwestair mention sit airport 4 hour youve ruined trip happy want compensation
4644,southwestair need get act together new morning 830 plane malfunctioning yet ive delayed 3 time
4645,southwestair brittanyobx11 keeping family apart w quirky archaic policy airline accommodates situation
4646,southwestair report filed would like support active searching feel pretty passive info computer precious
4647,southwestair surprise surprise delay seems norm broken equipment
4648,southwestair unbelievable thank much destinationdragons
4649,southwestair amazing c today sw thank much reason fly southwest
4650,southwestair best airline one better onelove southwest bestairline
4651,southwestair great cabin flight crew morning 578 great smile happy staff sign happy company thanks
4652,southwestair thank always going beyond customer service favoriteairline luvforsw southwestair
4653,southwestair doesnt mean tsa precheck show mobile boarding pas ktn linked account
4654,southwestair great news portcolumbuscmh today finally columbus top unserved market flight
4655,southwestair flight hrl limited route
4656,southwestair really stepping service httptcovqtyza6mzu
4657,southwestair inflight wifi absolute worst id willing paid double dialup speed flight7
4658,southwestair yes know also noticed offer list boarding a60 program popular
4659,southwestair pay service delivered whether fault shouldnt sort compensation
4660,southwestair little surprised early bird got b15 den kc worst ive whats
4661,southwestair please accept apology lame childish tweet didnt deserve amp remain loyal sw customer
4662,southwestair owe apology tweet frustration constructive criticism im sw fan amp love service
4663,southwestair booked trip cancun baggage feesbut need flight time option
4664,southwestair thank bringbacktheluvtordu miami directflights
4665,southwestair got duped w connection 1st flight sneaky u wont give seat earlier flight w availability shameful
4666,southwestair would great thank ill send follow
4667,southwestair real sincere apology make day glad know flying mail important never flying sw badservice
4668,southwestair already follow cant dm u need follow back
4669,southwestair rude customer svc wont accommodate earlier flight wo 400 charge u mail take priority customer badservice
4670,southwestair rude gate agent wholly unacceptable u amp passenger think last time sw
4671,southwestair trouble reflight booking problem cancelled flighted flight one picking phone site isnt working
4672,southwestair fortunemagazine love sw forever
4673,southwestair please hire efficiency consultant manage phx baggage checkin way many open kiosk 100 ppl waiting
4674,southwestair sw rock thanks reply follow rebooked earlier flight
4675,southwestair fortunemagazine congrats
4676,southwestair fortunemagazine well deserved
4677,southwestair fortunemagazine always tell everyone fly southwest congratulation
4678,southwestair fortunemagazine friendliest employee
4679,southwestair every flight flown personallyabout two round trip per month full still hard believe fly 8 hour thru atlno
4680,southwestair fortunemagazine superb choice swa raving fan even take stress weatherrelate flightd glitch custexp
4681,southwestair listening center open seating like plane ragandisney
4682,southwestair jlittle100 double comment phl anywhere south florida gone gone gone hello u air
4683,southwestair dont like new schedule nonstop phl fll pbi free move city sad
4684,southwestair incredibly frustrating emailed still havent received response
4685,southwestair paid inflight wifi work download speed 021mbps amp ended watching free tv instead
4686,southwestair oh god thank much sent dm
4687,southwestair wish wouldve known couldve slept 2 hour let friend know wait land
4688,southwestair thank prompt response email late flightr today
4689,thanks southwestair get go destinationdragons imaginedragons show weekend utah velourlive thankyou
4690,southwestair fortunemagazine love u southwest youve always helpful traveled lot wmy son infanttoddler u great
4691,southwestair fortunemagazine love flying southwest best flight attendant ever
4692,southwestair nothing express express bag drop phoenix sky harbor
4693,southwestair used exclusively fly sw late flightly direct flight amp cheaper cost switched whyso fewdirectflights
4694,southwestair fortunemagazine like airline congrats
4695,southwestair hi guy good morning
4696,southwestair email address send thought experience really good amp feedback
4697,southwestair southwest definitely favorite airline fly
4698,southwestair congratulation
4699,southwestair great flight delayed three hour friend wait airport hour birthday
4700,southwestair guess ashley shes great job presenting ragandisney httptco5znmwxdi9u
4701,southwestair thirtylives birthday 24th he seeing imagine dragon destinationdragons
4702,southwestair thank integrating passbook io work much better
4703,southwestair friend lucky enough see destinationdragons live birthday he fan year thirtylives
4704,southwestair enter every contest destinationdragons lose
4705,southwestair main supporter play jesus portrayed homosexual partner juda performs gay wedding boycott
4706,southwestair youre giving everyone tix destinationdragons except birthday
4707,southwestair birthday destinationdragons im huge fan anyway get ticket
4708,southwestair thanks agent boarding 1137 atlaus left wallet inbound found
4709,southwestair sent conf number yesterday
4710,southwestair iphone app passbook support whoot little thing life
4711,southwestair well fun lasted happy change redeeming reward point wont loyal anymore
4712,southwestair delay flight 423 bdl mco need get florida amp race daytona
4713,southwestair aww thanks love
4714,southwestair learn give folk multiple flight day boarding position least cant give boarding pass
4715,southwestair mco thanks
4716,southwestair new logo going look amazing airplane
4717,appreciate reply rt southwestair luxclark sorry keep waiting laura agent shortlycb
4718,southwestair love guy take airline weekmakes love appreciate yall much onlywaytofly
4719,southwestair im getting leathery heat 4251 even get vega
4720,southwestair first flight ever flight 4251 already technical issue faaaannntastic
4721,southwestair feel flight 4251 httptcojm8gq1kgrf
4722,southwestair stuck 4251 heat blasting try thaw water line kinda disappointed first flight rr member
4723,southwestair love friendly staff asking update delayed flight causing missed connection horribleattitudes
4724,southwestair dm sent thanks much responding response timely missed
4725,southwestair hate guitar player chgd oversize extra bag acoustic guitar epic fail
4726,southwestair thank flight going nashville guy rock disneyprincesshalfmarathon girlsweekend bffs
4727,southwestair flt 463 san jose ca gt denver co delayed 2 hr easily best flight touchdown year flying keep
4728,southwestair thx ops agt rich westagard n flight att nancy den airportheld flight 1027 n even saved seat 4 bus select customersfirst
4729,southwestair yall real mvp price
4730,southwestair spoke soon bag lost
4731,southwestair love bridesmaid dancing cant wait fly puerto vallarta kick united as
4732,southwestair airline understands u military family unpredictable change pound
4733,southwestair get tiks destinationdragons omg id love plz im dying
4734,southwestair humor aside weve stuck plane two hour gate bag cant loaded correctly give
4735,southwestair weve sitting gate two hour waiting bag loaded im telling herb
4736,southwestair rude gate agent bwi tonight gate b8 65hr delay flight 1172 think little training order
4737,looking forward using passbook fly southwestair week
4738,southwestair fantastic thank
4739,southwestair sat plane 2 hr 215 finally took
4740,southwestair great flight phoenix dallas tonightgreat service time make timieyancey happy httptcotkvcmhbpim
4741,southwestair flight cancelled flighted tonight told wont receive travel voucher inconvenience really policy
4742,southwestair guy clever httptcoqn5odugfqk
4743,southwestair fly swa lot always purchase eb never past a30 rethinking swa process misleading
4744,southwestair amazing view approach lax tonight httptcoa68d5fulmh
4745,southwestair today sporadically changed flight departure 5 time amp left two hour late flight uncharacteristic u httptcotxhyj40llg
4746,southwestair really appreciate alls bhm commercial aired today bet bookofnegroes
4747,southwestair yes extra 77 wonder going yo loose room
4748,southwestair flight oakland sna 730 asked take 530 even 5 empty sests answer
4749,southwestair could care customer reasonable request
4750,southwestair thanks replying sent conf love aviation southwest wanted 18th fly swa day
4751,southwestair going stop flying delay everytime time due paperwork
4752,southwestair thnx hopefully nxt flight ive got 3 show wknd worst case ill turn sweatshirt inside
4753,southwestair thanks taking notch leinenkugels craftbeer goodflight norfolk httptcotgsljjn6g0
4754,southwestair receive bad customer service ended spending several hundred dollar accommodate family cxl flight
4755,southwestair thank u leaving nice job running thru airport catch connecting flight
4756,southwestair keep saying mobile boarding pass unavailable despite checked everything
4757,southwestair thanks much making night cannot wait trip next week httptconbz45jcd1r
4758,southwestair app isnt working take like two hour help
4759,southwestair cant take knoxville yall fav help
4760,southwestair filing thank response
4761,southwestair one heck airline httptcocyoonzftdc
4762,southwestair understand weather fault frequent flyer expected better customer service ill trying delta
4763,southwestair flight 952 leaving la vega 540pm arriving chimid 1100 pm
4764,southwestair woohoo made day looked couldnt find thank
4765,southwestair doesnt even gluten free peanut whyyy
4766,southwestair great flight 4223 damion best damionflight4223
4767,southwestair please update website
4768,southwestair kaneshow internjohnradio mrerickv everything return jet go miami
4769,southwestair inclement weather flight left dca today plane appeared coming au
4770,southwestair whoa thanks thats wanted hear early flight coming thanks reply
4771,southwestair thx finger crossed found
4772,southwestair far good httptco16c9ex79rk
4773,southwestair leeannhealey yeah sale fare got place fly oh damn right live swa doesnt fly
4774,southwestair imaginedragons beatsmusic id love hear live velourlive velourlive saturday destinationdragons
4775,southwestair thats fly yall personalized service
4776,southwestair imaginedragons beatsmusic well timed tweet boarded listening way home
4777,southwestair took age one snapchat story load one one demolish
4778,southwestair lost sunglass amp case flight 3933 last night lost amp found
4779,southwestair wifi shit fix jump closest bloody fucking emergency exit
4780,southwestair need help changing name company reservationwe tried calling customer relation busy signal
4781,southwestair ala pretty full entertain witty repartee
4782,southwestair trying book another flight apply credit another flight cant find
4783,southwestair frustrated experience southwest 18 hour trapped denver bc mechanical problem worstcustomerservice
4784,southwestair awesome thank
4785,southwestair weve lost whole day honeymoon disappointed frustrated everything
4786,southwestair stay chicago overnight meet bag hope stay put dont get put flight
4787,southwestair luckily people working bso chicago midway attentive found bag punta cana
4788,southwestair bicycle 62 50lbs criterion free bike automatically 75each way faq page isnt clear
4789,southwestair wondering reason customer service busy hold past day many hour answer help plz
4790,southwestair open kiosk austinbergstrom three lane service line 50 people really
4791,southwestair pit gate a1 big shout lady trying track
4792,southwestair great experience customer service team thank luvsw alist
4793,southwestair way know checked bag curb awesome want sure get high five
4794,southwestair pls help get resolved amp reimbursement made gracias rico pls send private msg phone number email address
4795,southwestair alist preferred line phone wait 15 minute hung feeling alistey
4796,southwestair stop getting credit card apps already card
4797,southwestair thank handling glad southwest care flyer think
4798,bingo southwestair thank bringing attention well happy reach noah make right mr
4799,southwestair tsa pre isnt showing boarding pass ive followed step please help
4800,southwestair loveluv addition passbook option
4801,southwestair thanks follow glad get bag back
4802,southwestair guy fuck never forgive
4803,southwestair im smashed window giant guest sitting next 4386 way guy given 1 seat
4804,southwestair im miserable orlando vega nonstop right big must guest u require 2 seat im 1a btw
4805,southwestair amazing service sw stewardess den cun cun atl atl lax thank u
4806,southwestair lovedragonss lol im sorry im seeing lauren oh god ahhhh
4807,southwestair bad weather multiple cancelled flighted flight u scared noted next time
4808,southwestair good know three set traveler 20 min standing waiting min pas
4809,southwestair twice year hard get vacation time work sometimes love flying guy
4810,southwestair gave ticket see imaginedragons velourlive saturday cant even right haha thank
4811,southwestair doesnt want deal world might want know treating customer httptcoskkewqhssg
4812,southwestair guess get airport early need wait 10mins checkin really
4813,southwestair taylormdowns share value common
4814,southwestair karajusto ok thank
4815,southwestair worstthingever 2days late flightr lost bag fedexed somewhere know cause dont amp delivered somewhere
4816,southwestair know information found people account see someone el reservation rr trip
4817,southwestair dont conference number spoke courtney texas david finally fixed mine hour
4818,southwestair customer service said known problem using confirmation number domestic international
4819,southwestair look like 1 yr anni trip replaced w someone itinerary worried abt c flight httptcobape6rumne
4820,southwestair would want last time screwed early boarding paid
4821,southwestair thanks follow appreciate
4822,southwestair arrived san juan early thanks great flight luv u
4823,southwestair jamesasworth worst corporate account manager 22 brent take 70plus flight delta thank
4824,southwestair complete horror show flight bumped three time today noon run airline cantblametheweather
4825,5 hour delay shortlysouthwestair brendanpshannon brendan sorry keep waiting well air shortlyrs
4826,southwestair thanks already subscribe rr account received promo code last month since expired new offer
4827,southwestair thank kindly
4828,southwestair step 1 le shot step 2 acknowledge customer place twitter step 3 dont suck much
4829,southwestair great job celebrating mardigras2015 industry another reason im nut httptco8wbzorrn3c
4830,southwestair im sorry straying going americanair ive learned lesson attendant need sw happiness
4831,southwestair added passbook support io application finally get add collection httptcolednocdqee
4832,southwestair im really craving pretzel please send
4833,southwestair allows change flight fee yay always book flight americanair change 200
4834,southwestair poor customer service problem
4835,southwestair one look like problem fixed httpstcocfi1e3kxa9
4836,southwestairswadiversity ready inspired httptcos3esw5agum
4837,southwestair 3 day amp still home even ground 3 day pastmypatienceexpirationdate
4838,southwestair understand much often seems like quick request desk take question asked
4839,southwestair tried enter rapid reward contest link facebook browser kept popping security warning 4
4840,southwestair ohing text message received entitled jackass friend
4841,southwestair kirkwoodtiger hmmm caribbean sound httpstcoaay5avg99b ld warm thanks
4842,southwestair apology accepted customerservicewin itravelalot httptcoz5znfwkkwp
4843,southwestair pre boarding process work basically anyone doesnt want wait turn get slip
4844,southwestair love tv ad girl dancing make laugh every time want take trip
4845,southwestair oki forgive guy
4846,southwestair delayed 355 getting yelled attendant bother getting worse
4847,southwestair southwest scheduled fly costa rica march 7 cant book online available
4848,southwestair yes bag came straight hotel thank guy rock
4849,southwestair thank
4850,southwestair lovedragonss oh gosh
4851,southwestair service rep didnt say dumb tone voice like known
4852,southwestair would nice could talk agent rather get caught w promotion amp hung
4853,southwestair wanted southwest know dont think theyre great used anymore nothing look
4854,southwestair lovedragonss lauren im screaming
4855,southwestair lovedragonss lauren omg im dead im happy yes yes
4856,southwestair youre best
4857,southwestair customer relation line busy signal called normal line service rep thought dumb knowing
4858,southwestair lovedragonss lauren omg best airline ever
4859,southwestair didnt see travel compete unused fund expiration date hidden fine print never saw
4860,southwestair lovedragonss holy fuckinf shit
4861,southwestair lovedragonss oh god lauren oh god oh god
4862,southwestair thank thank thank
4863,southwestair long wait hour mother bag make filed report waiting thanks help
4864,southwestair sw return customer service business traveler made sw sw ignores u
4865,southwestair app repeatedly crashed failed display name checking unable use app httptco0kn7pjelzl
4866,southwestair
4867,southwestair yea hoping avoid ticket difference amount birthday courtesy flysouthwest lovesouthwest mybday
4868,southwestair sagerooski amp use luggage scale measure weight loss one scale foot home accurate anymore
4869,southwestair oh gosh seriously made day week year one appreciate
4870,southwestair boarded plane told get wasnt plane hour delay
4871,southwestair pleasantly surprised boarding flight time morning flynashville good job
4872,southwestair two hour plane gate undignified behavior apology enough freedrinkcoupons
4873,southwestair cut people 35 minute flight time check bag flight delayed 2 hour waited 8 hr
4874,southwestair want file formal complaint disgruntled employee laguardia ruined mltple people travel plan yesterday
4875,southwestair awesome sending
4876,southwestair hi got tsa precheck amp put acct boarding pas flight pmcan updated
4877,southwestair mdw gate many fewer seat plane
4878,southwestair really 15 hour plane gate jax2bna like waited day get home notokay
4879,southwestair thank
4880,southwestair option cancelled flight dont want change flight want cancelled flight
4881,southwestair thank time
4882,southwestair lastly company thats trying put love flying would nice someone personally address concern
4883,southwestair flight 2078 balt hit turbulence baby cried kid vomited chaos flight attendant caroline superhero
4884,southwestair way flight number 1703 please feel free fact check complaint leave time amp baggage time
4885,southwestair therefore since ive received recourse phone submitted email complaint amp letter via mail follow
4886,southwestair consider loyal customer brand im astounded lack concern customer flying experience
4887,southwestair experience worse flying experience ive ever met w contempt customer service make worse
4888,southwestair please let nothing overhead bin exit first fly lot bring purse tired running connection
4889,southwestair requested refund reward point used purchase flight refused
4890,southwestair today call customer service amp speak wendell holton dallas office amp told nothing
4891,southwestair get single answer southwest personnel hour wait apology explanation
4892,southwestair along passenger repeatedly asked southwest personnel taking long luggage
4893,southwestair next arrived atlanta waited full hour luggage placed carousel one hour
4894,southwestair secondly begin boarding time despite aircraft present deplaned thus left 30 min late flight
4895,southwestair 2 bag fly free whats carryons packingayak brianregancomic
4896,southwestair first cockroach crawling counter gate visible mouse trap seat gate
4897,southwestair completely displeased service received yesterday flying lga atl
4898,southwestair landed nashville thanks taking care u httptcoryxbplgmnk
4899,southwestair accepting reservation past august 7
4900,southwestair thanks info good day
4901,southwestair fs4ve7 corrected attendant error gave attitude made rude show taking back nutsamp said well late flight
4902,southwestair deltapoints hey least guy honest customer unlike delta
4903,southwestair sent screen shot incident report
4904,southwestair couldnt fly today amp made trip harder pay checked bag devotedyyours today
4905,southwestair oh worry nl disappointment better lounge like delta disappoint
4906,southwestair flight 4110 mco isp delayed detail
4907,southwestair thanks getting back nashville big thanks pilot 615 baltimore flying snow landing ice
4908,southwestair last night thanks following
4909,southwestair win always saved day got direct orlando
4910,southwestair deicing important
4911,southwestair thank finally making boarding pass work passbook
4912,southwestair love appreciate fact guy rarely cancelled flight flight time need cancelled flightlation time
4913,southwestair flight 630 fll kiosk opened rude attendant everyone late flight httptco2boh2mh3cb
4914,southwestair website downnnnn ugh
4915,southwestair please tell ill make flight tomorrow 8am ive tryin 3 day leave
4916,southwestair bad experience last week broke bicycle brought bike ride fla
4917,southwestair tinaisback im sorry frustration get rebooked sw ive rebooked 4 time still stuck smh
4918,southwestair 75 minute still waiting ski unloaded ashamed 130 morning
4919,southwestair neveind found way thanks making process painless
4920,southwestair johnwayneair thank much
4921,southwestair official airline divadapouch aka thepoopqueen httptcoxxy2d2imnp
4922,southwestair able change flight without fee oh two free checked bag best airline ever
4923,southwestair wonderfully nice agent austin helped u wish remembered name give proper kudos
4924,southwestair hot stewardess flipped
4925,southwestair bag tv show film
4926,southwestair scheduled morning 2 day fact yesnot sure evening flight one cancelled flightled
4927,southwestair update 35 minute pilot turned ac longer freezing enjoying waiting reload bag
4928,southwestair seems odd sitting plane get delayed find txt 6 emp working aircraft
4929,southwestair really enjoying sitting bwi door wide open ac fix baggage error sarcasm
4930,southwestair flight 4146 phi den staffed great crew freecomedyshow newlifetimecustomer
4931,southwestair engadget theverge wired reddit
4932,southwestair male flight attendant must playing game called bigger dick people flight 952 chimid
4933,southwestair youre hold southwest 2 hour automatically hang iusedtoloveu httptcotefhpuwmdj
4934,southwestair best customer service
4935,southwestair big thanks team family emerg day ticket experience excellent 1st time flying yall last
4936,southwestair 3rd cancelled flightlation 2 day due weather nashville 3 trip airport time communicated late flight sw
4937,southwestair left ipad flight 1831 erw den opened claim 442998 many memory plz help get back
4938,southwestair yes dale baggage office wonderful everyone page 6 hour wait
4939,southwestair one want commit saying plane getting cancelled flighted customer relation closed patience gone
4940,southwestair tried leave monday plane left mine one keep getting delayed missed work pay cab
4941,southwestair total win happy 7th bday intercom chocolate flight kiss chance hand snacksthank httptconklozcntto
4942,southwestair luggage still found luggage scanned final destination way knowing
4943,southwestair thanks excellent response time assistance set
4944,southwestair finally got 3 hour set thanks
4945,southwestair disheartening experience familyand lot taxi money wasted
4946,southwestair cant wait thanks response
4947,southwestair got covered thanks
4948,southwestair please help hold forever check flight
4949,southwestair sister family drive 1200 mile accommodate rebook timely manner horrible
4950,southwestair cant believe many paying customer left high dry reason flight cancelled flightlations monday bdl wow
4951,southwestair thank help resolving problem shannon rock even though rhonda didnt
4952,southwestair thanks see happens
4953,southwestair appreciate rude doesnt solve much least cover cost stolen good
4954,southwestair youre 44 blowing customer service shotwest airline
4955,southwestair glad finally resolved bad cant get free voucher go mine friend travel next time
4956,southwestair made standby flight cancelled flighted reason almost 4hrs late flight conf fvf9yw swrr 298033455
4957,southwestair frustrated customer serviceopen seat earlier flight 154 change rip
4958,southwestair good going make boston time im actually wifi right
4959,southwestair 40 please start acting age stop shortshorts
4960,southwestair thanks assistanceyou guy rock
4961,southwestair self help way put tsa pre check number existing reservation annoying 800 reachable
4962,southwestair wont let leave newark
4963,southwestair hey yea got thrueverything good well 710 day voucher go appreciate
4964,southwestair nashville drive 3 half hour memphis made plane loading
4965,southwestair according tv passenger interview landing far uneventful heavy panic breaking
4966,southwestair chance cancelled flighting flight nashville
4967,southwestair airline cancelled flight flight bna stranded philly 2 day hoping get
4968,southwestair helpful trying get nashvilleshould waive change fee 218
4969,southwestair thanks told hour ago plane left tried stuck waiting hour
4970,southwestair flight today rsw grr able snag free sw agent check look like finally set
4971,southwestair yeah figured thanks
4972,southwestair thanks drink ticket hook cant wait first international flight na pumped
4973,southwestair took carryon bag essential attire life changing interview tomorrow amp expect compensation
4974,southwestair hi saw black history month commercial tv amp im excited support monthwill grant 1 free trip
4975,southwestair took bos bwi plane flight stl promised replacement 15 hour late flightr 25 hour delayed happy
4976,southwestair though work another major airline love black history month commercial thank
4977,southwestair large group majority 30 bag soaked
4978,southwestair black history commercial really sweet well done
4979,southwestair even 50 voucher picking bag
4980,southwestair first interaction people morning bad weather sorry wont flying
4981,southwestair yeah told would next flight drove wasnt drove second time
4982,southwestair much respect
4983,southwestair letting dm
4984,southwestair thank thankful feelingtheluv
4985,southwestair im praying get home alive
4986,southwestair hope youre happy officially become next americanair profitbeforepeople imo bankrupt 2020
4987,southwestair whats delay throw priority boarding way amp ill forgive southwest southwestairlines
4988,southwestair got added thank
4989,southwestair great thank best luck dealing horrible winter
4990,southwestair thank
4991,southwestair needed flight info add rapid reward flight first time flown sw wont mad
4992,southwestair keep getting disconnected choosing option unused travel fund automated customer service line so
4993,southwestair old miss connection sleep oak get hotel dime rub wrong way late flight
4994,southwestair finest moment boston right
4995,southwestair bag 1st woman said would next flight ive got nothing big wig help
4996,southwestair thanks think straight
4997,southwestair thanks taking care today michele rocked customer service gate 25 hou
4998,southwestair paid 200 rental car go 3rd day
4999,southwestair thank
5000,southwestair thanks expected wait long
5001,southwestair understand weather issue time cancelled flighted reinstated cancelled flighted hardly update nothing
5002,despite mother nature best effort southwestairs goodhumored folk got u home safely area heavily affected winter storm
5003,southwestair sadly didnt get much help travel agent disappointing
5004,southwestair bos msp msp au au bos site doesnt seem display field middle trip add 3rd
5005,southwestair able rebook another flight drove atl catch flight charged 40 get group
5006,southwestair worst customer service earth never fly airline
5007,southwestair flight yesterday cancelled flighted got airport 4am today time flight w delayed cancelled flighted reinstated caused
5008,southwestair flight 4968 n8325d departs mco enroute noairport httptcofd4snvkiem
5009,southwestair awesome thanks
5010,southwestair poisonpill76 im boat 8am flight jacksonville get
5011,southwestair im concerned cancelled flight flight bna tomorrow
5012,southwestair really appreciate follow always fly yall reason
5013,southwestair piece found safely delivered home afternoon
5014,southwestair stop ur b promos anywhere starting 79 click everywhere id fly130 place thats 79 cle nothanks
5015,southwestair know one thing delta would never treat customer like
5016,southwestair yall trying fly chicago dont live send home bullshit as customer service
5017,southwestair 4 flight cancelled flightled one week customer service
5018,southwestair 4 flight cancelled flightled yall im sick
5019,southwestair poor customer service thru cxl flight shouldve flew delta
5020,southwestair whats yall corporate number bc yall trying accommodate
5021,southwestair el paso dealsmay
5022,southwestair cant checkin online 200 flight tmrw fr cancun undefined error amp 800 workingfamily 4 dont want cgroup help
5023,southwestair anyone ever answer phone poor
5024,southwestair 2 min departure 4125 announced update update time status everyone standing comeon
5025,southwestair get kind update delayed flight boston houston 730 really need back home tonight
5026,southwestair matteboss long hold waited 35 minute gave
5027,southwestair plan make southwest app android crappy
5028,southwestair thanks ill keep checking im trying book first disney world vacation
5029,southwestair thanks taking good care luggage httptcopivxean3jy
5030,southwestair yeah 4 rebooked tomorrow hoping 3rd time charm cancelled flightled flight
5031,southwestair thank know yall cant control weather appreciate yall working get flight rebooked last two day
5032,southwestair make premium wifi pay 30 decent slowfi
5033,southwestair timeand time next flight thursday
5034,southwestair extremely disappointed poor customer service provided cancelled flighting flight today unprofessional
5035,southwestair helped nice lady phx checkin spent 4 hour hold 24 hour might want look efficiency
